variant,seed,step,mode,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable,gain_over_dense_pp,requested_rate,mean_soft_gate,expected_action_gain_percent,zero_action_rows,all_baseline,clip_fraction,no_greater_easy_harm_than_dense,training_signal_not_research_gate
expected_cost,29,6000,proposal,15430,1135.5613827668237,2368.026958398411,1127.6525371766852,-0.7013548348802523,1.1355614367030953,1.1276525907373067,7.908845590138511,8566,6864,1549,18.4331770999091,0.018433177975438027,,zero_error_CV_denominator,0.2061251147577492,0.11911194265321612,0.9966947504860661,4078.763279784947,17566.3333069638,3169,12210,1123.1359678850356,0.4005284555965938,12.425414881788102,False,0.13550906248827022,1.0,0.2784883379936218,-0.19427569784915555,51,False,,True,False
expected_cost,29,6000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,0.8368638973685233,0.0,0.2784883379936218,-0.19427569784915555,15430,True,,True,False
expected_cost,29,10000,proposal,15430,1124.9988113740408,2349.5322549412717,1127.6525371766852,0.23533186998262456,1.1249988648086169,1.1276525907373067,-2.6537258026444914,8566,6864,1549,12.306031836642804,0.01230603242114795,,zero_error_CV_denominator,0.8411675916724759,0.38621460249436135,0.9966947504860661,4067.2322824320254,17567.52206940164,4398,10981,1116.8852097298588,0.9548444305179871,8.113601644182141,False,0.0055399754922235735,1.0,0.2604251503944397,0.0647367844877067,51,False,1.0,True,True
expected_cost,29,10000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,-0.2297918944904025,0.0,0.2604251503944397,0.0647367844877067,15430,True,1.0,True,False
cost_supervised,29,2000,proposal,15430,1142.279032601156,2376.016641786066,1127.6525371766852,-1.2970746699237035,1.1422790868564987,1.1276525907373067,14.626495424470619,8566,6864,1549,21.949230957555674,0.021949232000088206,,zero_error_CV_denominator,-0.2164965961604981,-0.011978070726925694,0.9966947504860661,4080.5531034874116,17572.688148822992,2197,13182,1126.6590288031196,0.08810412257423961,15.620003798036565,False,0.0,1.0,0.5,-0.6485373349618628,51,False,,True,False
cost_supervised,29,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.2970746699236992,0.0,0.5,-0.6485373349618628,15430,True,,True,False
cost_supervised,29,4000,proposal,15430,1140.671921300093,2373.3709362660475,1127.6525371766852,-1.154556363257453,1.140671975479102,1.1276525907373067,13.019384123407598,8566,6864,1549,21.737235681898674,0.02173723671436197,,zero_error_CV_denominator,-0.08441498529736524,0.02986121351504778,0.9966947504860661,4086.1667988803724,17566.573799750204,2432,12947,1125.6581061093373,0.17686574557278512,15.013815190755635,False,0.2873710546884509,1.0,0.4963025450706482,-0.5727478882668668,51,False,,True,False
cost_supervised,29,4000,hard_action,15430,1127.3567419392248,2360.9250213127684,1127.6525371766852,0.026231062114301373,1.1273567954857968,1.1276525907373067,-0.2957952374602891,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.02623106211427917,0.015178499301282677,0.0019442644199611147,4078.821253373495,17570.3460960043,30,0,1127.3567419392248,0.026231062114301373,0.0,False,1.4681584800602168,0.0019442644199611147,0.4963025450706482,-0.5727478882668668,15400,False,,True,True
cost_supervised,29,6000,proposal,15430,1137.259647658651,2368.395507672939,1127.6525371766852,-0.8519566236262266,1.1372597016755857,1.1276525907373067,9.607110481965718,8566,6864,1549,19.91548048594073,0.019915481431875298,,zero_error_CV_denominator,0.1284982990624628,0.10031280560874878,0.9966947504860661,4076.0100214117097,17564.73763656205,2953,12426,1123.6170449542415,0.3578666379403961,13.642602704409775,False,-0.01509272625769599,1.0,0.4977535307407379,-0.42277655086102595,51,False,,True,False
cost_supervised,29,6000,hard_action,15430,1126.7210808867414,2357.750817576418,1127.6525371766852,0.08260135628975762,1.1267211344031207,1.1276525907373067,-0.9314562899440083,8566,6864,1549,0.32606460860446285,0.00032606462409170067,,zero_error_CV_denominator,0.09865377595628111,0.050683765691872384,0.018276085547634477,4081.8834419295335,17570.3460960043,172,110,1126.4746566520287,0.10445420781880488,0.24642423471274777,False,0.9194652536582785,0.018276085547634477,0.4977535307407379,-0.42277655086102595,15148,False,,True,True
