family,seed,head,recording,subset,rows,target_benefit_mean,target_harm_mean,predicted_benefit_mean,predicted_harm_mean,benefit_mse,harm_mse,actual_net_gain_mean,predicted_net_gain_mean,positive_harm_fraction
transformer,17,neural_cost,ucy_zara01,eligible_moderate,964,0.01396637230627449,0.08955279727075667,0.05872019565919283,0.02130480710113631,0.005086283543032872,0.01858165743113959,-0.07558642496448219,0.03741538855805652,0.8184647302904564
transformer,17,neural_cost,ucy_zara02,all,5741,0.016140521488852557,0.3861969890153455,0.05648031834628289,0.3236926703464397,0.008378322069015193,0.11758856260605015,-0.37005646752649296,-0.2672123520001568,0.8472391569412995
transformer,17,neural_cost,ucy_zara02,eligible_conservative,461,0.024005116413365352,0.1969602318438186,0.07395075291896203,0.021405097027411432,0.010152693679128444,0.0758495669144388,-0.17295511543045328,0.052545655891550594,0.8156182212581344
transformer,17,neural_cost,ucy_zara02,eligible_moderate,609,0.025300789331096495,0.21966163254509663,0.08233995215389235,0.02922256256089435,0.012127276565224556,0.10005923934927355,-0.19436084321400013,0.053117389592998,0.7947454844006568
transformer,17,neural_cost,ucy_zara03,all,180,0.01585227714644538,0.11963496815426172,0.0669785245632132,0.05495588319374494,0.010325836554987157,0.06153933941832121,-0.10378269100781634,0.012022641369468248,0.7888888888888889
transformer,17,neural_cost,ucy_zara03,eligible_conservative,82,0.022878148079077464,0.12459317035973072,0.07325252125085127,0.01411487406762828,0.012725105806773102,0.0872546071913787,-0.10171502228065325,0.059137647183222994,0.7560975609756098
transformer,17,neural_cost,ucy_zara03,eligible_moderate,107,0.01871552956116464,0.14522959964423848,0.06830087231872516,0.015909416203264137,0.01169462163612143,0.09027850058647968,-0.12651407008307386,0.052391456115461026,0.794392523364486
transformer,29,ridge,all_fit,all,11966,0.024723362560668954,0.5969500597919621,0.033773542793858975,0.6156376273052641,0.029359154669567386,0.3759312875235119,-0.5722266972312932,-0.581864084511405,0.7718535851579476
transformer,29,ridge,all_fit,ridge_harm_clipped_to_zero,2475,0.019660198473085817,0.03473473502850171,0.03133457092474205,0.0,0.004733278225188832,0.024932428033505344,-0.01507453655541589,0.03133457092474205,0.6537373737373737
transformer,29,ridge,all_fit,ridge_benefit_clipped_to_zero,2620,0.007676578140891453,1.131270868217145,0.0,1.1709667561390928,0.0025432619528758115,0.5135883590365418,-1.1235942900762537,-1.1709667561390928,0.8259541984732824
transformer,29,ridge,all_fit,eligible_conservative,1440,0.028801936887480728,0.03606513403220662,0.05550910591458281,0.0015861061298184924,0.008043655169446674,0.030059336470372813,-0.007263197144725887,0.053922999784764315,0.6104166666666667
transformer,29,ridge,all_fit,eligible_moderate,1888,0.02579228110313371,0.03466246401508138,0.04741266567725688,0.002603161669636177,0.0065072257668986186,0.023834778855785357,-0.00887018291194767,0.0448095040076207,0.6207627118644068
transformer,29,ridge,eth_eth,all,2614,0.049145041351871505,0.2063797307957479,0.05556433893278435,0.19242245885782233,0.10139631072954625,0.6715146725879473,-0.1572346894438764,-0.136858119925038,0.6457536342769702
transformer,29,ridge,eth_eth,ridge_harm_clipped_to_zero,1292,0.014870690584799777,0.021327998464837822,0.025741231025862666,0.0,0.001741889341798276,0.0018428934057186375,-0.006457307880038047,0.025741231025862666,0.6439628482972136
transformer,29,ridge,eth_eth,ridge_benefit_clipped_to_zero,805,0.005851839565377688,0.14375879672523817,0.0,0.1578797129740626,0.0003318665553344485,0.2852422981583988,-0.13790695715986048,-0.1578797129740626,0.7167701863354037
transformer,29,ridge,eth_eth,eligible_conservative,561,0.024774387820266683,0.021161659396421846,0.05427407939817072,0.000466628720628599,0.0036127863317634208,0.002872601375539568,0.0036127284238448376,0.053807450677542126,0.5971479500891266
transformer,29,ridge,eth_eth,eligible_moderate,772,0.021897708600439908,0.020615539568034413,0.04406235690971769,0.0008345143628243955,0.002885661793230745,0.0023513309969235537,0.0012821690324054953,0.04322784254689329,0.5984455958549223
transformer,29,ridge,eth_hotel,all,1197,0.06122794523132751,3.1128424473138137,0.0640544776307573,3.250666379530229,0.04491751153301916,1.571675466532194,-3.051614502082486,-3.186611901899471,0.5964912280701754
transformer,29,ridge,eth_hotel,ridge_harm_clipped_to_zero,573,0.03387685399814887,0.05017383359300682,0.04820116413480897,0.0,0.013401265788215365,0.0928727802416325,-0.016296979594857947,0.04820116413480897,0.5828970331588132
