tag,pair,bank,weighting,bin,mean_target_minus_cap,normalized_mean_target_minus_cap,rows
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,uniform_positive_envelope,1,-0.22307657294675037,-1.3915272411175839,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,uniform_positive_envelope,2,-0.7424605693776527,-3.068420453333913,1827
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,registered_risk_weights,0,-0.048032636612658386,-0.17504530230551524,2238
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,registered_risk_weights,1,-0.2957416169700665,-2.3158689874909384,2444
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,registered_risk_weights,2,-0.8350949073785637,-1.4647728700333191,2210
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,uniform_positive_envelope,0,-0.07230875201412806,-0.48377249902000485,2298
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,uniform_positive_envelope,1,-0.30257792726674926,-2.3210839651039064,2297
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,uniform_positive_envelope,2,-0.8549714442107551,-3.0163482110549156,2297
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,registered_risk_weights,0,-0.09051744953782842,-0.7587684124318613,2351
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,registered_risk_weights,1,-0.35538316338658593,-2.417618992345726,2433
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,registered_risk_weights,2,-0.8835635831352681,-1.4327938081619394,2108
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,uniform_positive_envelope,0,-0.09174615820593843,-0.7834553231467904,2298
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,uniform_positive_envelope,1,-0.3419865662409567,-2.2088721083899383,2297
