tag,pair,bank,weighting,rows,mse,floor,floor_share_percent,distance,cross,above_cap_fraction,mean_target_minus_cap,envelope_floor,identity_error
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,in_sample_next,uniform_positive_envelope,4821,0.022600209352563797,0.00888572909381248,39.31702116203836,0.009988176906530366,0.003726303352220949,0.009956440572495333,-0.4078492210589608,0.0,6.661338147750939e-16
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,in_sample_prev,registered_risk_weights,4821,0.053928257466115376,0.014399003059622596,26.700293568116656,0.030325599280282396,0.009203655126210379,0.014345156997460893,-0.49052465957908875,0.0,1.2351231148954867e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,in_sample_prev,uniform_positive_envelope,4821,0.02287547474637972,0.010273809914895148,44.91189813020638,0.00939525477774156,0.0032064100537430133,0.008919311346193736,-0.4946019852185176,0.0,1.2351231148954867e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,oof,registered_risk_weights,4821,0.10928421822377998,0.09071461530188585,83.00797386511073,0.013352176311467727,0.005217426610426394,0.016585138534505495,-0.3716198304401689,0.0,2.220446049250313e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,oof,uniform_positive_envelope,4821,0.04031579763245721,0.02449145131694136,60.749018387829004,0.01393889066702079,0.0018854556484950724,0.01037129226301597,-0.42122624743509707,0.0,2.220446049250313e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,original_in_sample,registered_risk_weights,4821,0.06945235701344915,0.03200219023169411,46.07790377149767,0.01235039364649082,0.02509977313526423,0.015999755251505335,-0.38246336718993557,0.0,1.7763568394002505e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,original_in_sample,uniform_positive_envelope,4821,0.022619885327632205,0.014266904012561664,63.072397609077925,0.002897117268153651,0.005455864046916888,0.01078614395353661,-0.39936653264649397,0.0,1.7763568394002505e-15
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,in_sample_next,registered_risk_weights,41497,0.02545618739833189,0.01532140859968147,60.18736568809774,0.004753288849227965,0.005381489949422448,0.004406267511628653,-0.6150791745797748,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,in_sample_next,uniform_positive_envelope,41497,0.06278144486439625,0.04248080961295546,67.66459374216568,0.004522381736524825,0.015778253514915977,0.003879798539653469,-0.8532926219888515,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,in_sample_prev,registered_risk_weights,41497,0.02425293753053663,0.014632211766545958,60.33170929551394,0.0037888676356124433,0.0058318581283782304,0.00422864319726316,-0.6313128872696033,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,in_sample_prev,uniform_positive_envelope,41497,0.06266107051452412,0.04211251274205904,67.20681979459295,0.0048057751358205406,0.015742782636644543,0.003976191049955419,-0.8414496176464273,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,oof,registered_risk_weights,41497,0.022911977080598157,0.016538824932066612,72.18418940402867,0.0022933440573328075,0.004079808091198744,0.004150094927660275,-0.590863514669465,0.0,1.3322676295501878e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,oof,uniform_positive_envelope,41497,0.06477221031597585,0.047441726564966875,73.2439518946994,0.006630991083831868,0.010699492667177096,0.005060606790852351,-0.6275471981797214,0.0,1.3322676295501878e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,original_in_sample,registered_risk_weights,41497,0.022163604224291335,0.014921615444639295,67.3248596827279,0.0016319904006048354,0.005609998379047201,0.00452253832189468,-0.654318078881132,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-020,motion_only,original_in_sample,uniform_positive_envelope,41497,0.06230113174150484,0.041756118792082214,67.0230501836364,0.004698668553644595,0.015846344395778023,0.004265368580861267,-0.8769239885529765,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,in_sample_next,registered_risk_weights,39096,0.07488287360327273,0.020546193508194623,27.437773845389206,0.039868054276372925,0.014468625818705168,0.0061464431170967105,-0.5903999428005835,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,in_sample_next,uniform_positive_envelope,39096,0.05675307099743637,0.03716368473144374,65.4831255442062,0.004482826741864062,0.015106559524128559,0.0036832412523020255,-0.8624172682048936,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,in_sample_prev,registered_risk_weights,39096,0.05695054983243815,0.015967350997940367,28.0372200881643,0.029403924763017772,0.011579274071480006,0.006910388210443945,-0.6847396926370152,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,in_sample_prev,uniform_positive_envelope,39096,0.06596037298272575,0.034054565131577244,51.62882438596237,0.014683383473526716,0.017222424377621795,0.0034274606097810514,-1.0084891399069682,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,oof,registered_risk_weights,39096,0.16477052893984878,0.08228800385942718,49.940972083343425,0.06821878669236932,0.014263738388052265,0.007335028288650925,-0.7260413385492583,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,oof,uniform_positive_envelope,39096,0.07332780188422927,0.04525835118648804,61.72058894925341,0.019379051835116685,0.00869039886262454,0.0056015960712093305,-0.6993366912825817,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,original_in_sample,registered_risk_weights,39096,0.07140453498150783,0.03320796516531242,46.50680124716524,0.020167338749445686,0.01802923106674972,0.008003878077049971,-0.6737381483532464,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-048,motion_only,original_in_sample,uniform_positive_envelope,39096,0.058878978575289516,0.03727599064769971,63.30950629524642,0.006369169019836107,0.015233818907753709,0.003990178023327195,-0.9044558319296843,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,in_sample_next,registered_risk_weights,39257,0.07779486229421184,0.020518519357903893,26.375159943474223,0.04214549711749469,0.015130845818813278,0.007864313555121249,-0.7009832588187566,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,in_sample_next,uniform_positive_envelope,39257,0.05650416834482637,0.03657361900536417,64.727293714275,0.004833628205859317,0.015096921133602875,0.003999286751407392,-0.8579447223783974,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,in_sample_prev,registered_risk_weights,39257,0.06729667779354016,0.01866097318925438,27.729412210368658,0.034067508855951084,0.014568195748334687,0.009226297318807777,-0.867895815297633,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,in_sample_prev,uniform_positive_envelope,39257,0.06576053390122061,0.033873186412868884,51.50990176532029,0.01469758101299275,0.017189766475358983,0.0035407697990167356,-1.0265900626559303,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,oof,registered_risk_weights,39257,0.25448622813953625,0.0863012001842742,33.911933394271834,0.15318591068832849,0.014999117266933596,0.009899288965536431,-0.7699250161297039,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,oof,uniform_positive_envelope,39257,0.07913993675851069,0.050053573451514705,63.246921215326786,0.023900027184003303,0.005186336122992678,0.00560409608477469,-0.5435531115651087,0.0,1.0658141036401503e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,original_in_sample,registered_risk_weights,39257,0.0833475896089624,0.032085491221626176,38.49600375027043,0.026317015959729326,0.02494508242760695,0.008900506157770466,-0.772547891635938,0.0,2.1316282072803006e-14
fold0_seed17_controller2_motion_only_eu-locality-067,motion_only,original_in_sample,uniform_positive_envelope,39257,0.06020244208719816,0.03828428421628623,63.59257679420159,0.007700401085260754,0.014217756785651195,0.0037190819471686577,-0.8058908613178077,0.0,2.1316282072803006e-14
