view_action,policy,count,predicted_easy_harm_sum,actual_easy_harm_sum,predicted_easy_denominator_sum,actual_easy_denominator_sum,predicted_positive_easy_harm_ratio_percent,observed_positive_easy_harm_ratio_percent
deathCircle_seed17__eqmotion,matched_joint,1,0.03909741842520451,0.0,1.9743258709101594,2.0833333022892475,1.9802920582295107,0.0
deathCircle_seed17__eqmotion,matched_product,1,0.013919040508985535,0.0,0.027976952817841717,0.0,49.751810354803744,
gates_seed17__eqmotion,net_stop,11450,2986.008959147384,2445.106535593807,3155.9842331433515,2562.275104798083,94.6141912810929,95.4271667009968
gates_seed17__eqmotion,strict_stop,364,50.676377429913686,6.3976166683871405,127.68700008119504,80.32181081871191,39.68796932944546,7.964980623789349
gates_seed17__eqmotion,joint_easy_moment,6,0.17352491551222907,0.0,10.58646220672162,14.340423333365887,1.6391209086077272,0.0
gates_seed17__eqmotion,product_easy_marginals,36,0.925371515186937,3.765267255323245,27.288963160384693,18.13927629716129,3.391010166814605,20.757538468679098
gates_seed17__eqmotion,matched_joint,6,0.17352491551222907,0.0,10.58646220672162,14.340423333365887,1.6391209086077272,0.0
gates_seed17__eqmotion,matched_product,5,0.14472825825213834,0.0,3.4393096488293082,0.0,4.208061298039906,
hyang_seed17__eqmotion,net_stop,53934,10290.114358933897,13997.81751938007,13474.686500601494,21183.6557378524,76.366261719518,66.07838464051234
hyang_seed17__eqmotion,strict_stop,2770,305.456538730902,516.4543470006262,1009.6519192939365,1192.2145516777362,30.253648103250473,43.3189098618071
hyang_seed17__eqmotion,joint_easy_moment,2,0.04857964697441737,0.0,2.6107986293403354,2.21067898404991,1.8607197977077183,0.0
hyang_seed17__eqmotion,product_easy_marginals,288,7.63097779137013,0.2816144165907124,198.3177920581549,329.9977819783203,3.8478533429478756,0.08533827557944419
hyang_seed17__eqmotion,matched_joint,2,0.04857964697441737,0.0,2.6107986293403354,2.21067898404991,1.8607197977077183,0.0
hyang_seed17__eqmotion,matched_product,2,0.056217811187246725,0.0,0.6791474012854519,0.0,8.277703938915295,
coupa_seed29__eqmotion,net_stop,12165,3895.461317455473,3733.9999582602186,7665.33150658565,7394.559423847402,50.819215243446386,50.496584640568244
coupa_seed29__eqmotion,strict_stop,2061,330.78627932573136,147.25697617992125,2051.301717461818,1765.5326269513052,16.125676516033458,8.340654481939671
coupa_seed29__eqmotion,joint_easy_moment,0,0.0,0.0,0.0,0.0,,
coupa_seed29__eqmotion,product_easy_marginals,0,0.0,0.0,0.0,0.0,,
coupa_seed29__eqmotion,matched_joint,0,0.0,0.0,0.0,0.0,,
coupa_seed29__eqmotion,matched_product,0,0.0,0.0,0.0,0.0,,
deathCircle_seed29__eqmotion,net_stop,19305,4514.926084053086,2819.103290584261,3959.262996467215,3102.3343896859924,114.03450814158292,90.87038779432157
deathCircle_seed29__eqmotion,strict_stop,740,101.57867900664962,73.16866131537068,140.50266604276968,153.16951955878307,72.29662031874085,47.76972698363147
deathCircle_seed29__eqmotion,joint_easy_moment,3,0.09129436733468352,0.0,5.012480704425751,8.2123437045964,1.8213410229006068,0.0
deathCircle_seed29__eqmotion,product_easy_marginals,70,1.705216308099225,3.3784061222061323,34.72011710766958,40.93541537447259,4.911320727436565,8.253015368968049
deathCircle_seed29__eqmotion,matched_joint,3,0.09129436733468352,0.0,5.012480704425751,8.2123437045964,1.8213410229006068,0.0
deathCircle_seed29__eqmotion,matched_product,3,0.04050122070663262,0.0,0.12152387320466179,0.0,33.32778954339562,
gates_seed29__eqmotion,net_stop,11606,3086.337574905916,2627.0109045005393,3215.289354606126,2678.7593190004654,95.98941913220105,98.06819469995403
gates_seed29__eqmotion,strict_stop,383,45.178235922971254,4.550061953009031,134.38902620321966,106.61952322191834,33.617503749639404,4.267569217636166
gates_seed29__eqmotion,joint_easy_moment,4,0.1369647492594672,0.0,8.721740525986466,11.090423329640597,1.5703832148110815,0.0
gates_seed29__eqmotion,product_easy_marginals,32,0.7923380486794955,3.494685418761933,22.83586918575199,19.506560806217273,3.469708300719554,17.915436008832895
gates_seed29__eqmotion,matched_joint,4,0.1369647492594672,0.0,8.721740525986466,11.090423329640597,1.5703832148110815,0.0
gates_seed29__eqmotion,matched_product,3,0.0782348551546492,0.0,2.116638787652737,0.0,3.6961835723235685,
hyang_seed29__eqmotion,net_stop,56596,11034.031028340294,14676.530547555076,14795.691862683934,23491.795445346383,74.57597205149366,62.475133421368305
hyang_seed29__eqmotion,strict_stop,2806,327.7606307720132,536.2800569969679,1075.671791581503,1243.5880615515257,30.47031941686638,43.123609302576774
hyang_seed29__eqmotion,joint_easy_moment,6,0.1373314002342232,0.0,7.261743482125295,13.548090336382373,1.891162922131069,0.0
