model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
goal_only_residual,trajnet,hard,10,1.371215,2.399685,1.371215,2.399685,0.0,0.0,0.0,4,0.0,0.483343,0.0,0.0,1.723667
goal_only_residual,trajnet,baseline_failure,1,0.093828,0.093828,0.093828,0.093828,0.0,0.0,0.0,4,0.0,0.483343,0.0,0.0,1.723667
goal_only_residual,trajnet,baseline_failure,10,1.371215,2.399685,1.371215,2.399685,0.0,0.0,0.0,4,0.0,0.483343,0.0,0.0,1.723667
goal_only_residual,trajnet,pedestrian_drone,1,0.059189,0.059189,0.059189,0.059189,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
goal_only_residual,trajnet,pedestrian_drone,10,0.82033,1.434586,0.82033,1.434586,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
goal_only_residual,trajnet,scene_grounded,1,0.059189,0.059189,0.059189,0.059189,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
goal_only_residual,trajnet,scene_grounded,10,0.82033,1.434586,0.82033,1.434586,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
scene_only_residual,eth_ucy,all,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,eth_ucy,all,10,0.330902,0.582876,0.395439,0.713643,0.183239,-0.027313,0.240257,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,eth_ucy,easy,1,0.0,0.0,0.0,0.0,0.0,,,1,0.025,0.025934,0.0,0.0,0.034894
scene_only_residual,eth_ucy,easy,10,0.001869,0.003398,0.0,0.0,-0.033983,,,1,0.025,0.025934,0.0,0.0,0.034894
scene_only_residual,eth_ucy,medium,1,0.012018,0.012018,0.012018,0.012018,0.0,0.0,0.0,3,0.163617,0.155708,0.166667,0.166667,0.067074
scene_only_residual,eth_ucy,medium,10,0.120914,0.229168,0.144023,0.263202,0.129307,-0.008054,0.239719,3,0.163617,0.155708,0.166667,0.166667,0.067074
scene_only_residual,eth_ucy,hard,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.117042,0.118274,0.25,0.0,1.554243
scene_only_residual,eth_ucy,hard,10,0.810402,1.403177,0.970284,1.746128,0.196407,-0.08036,0.418726,2,0.117042,0.118274,0.25,0.0,1.554243
scene_only_residual,eth_ucy,baseline_failure,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.117042,0.118274,0.25,0.0,1.554243
scene_only_residual,eth_ucy,baseline_failure,10,0.810402,1.403177,0.970284,1.746128,0.196407,-0.08036,0.418726,2,0.117042,0.118274,0.25,0.0,1.554243
scene_only_residual,eth_ucy,pedestrian_drone,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,eth_ucy,pedestrian_drone,10,0.330902,0.582876,0.395439,0.713643,0.183239,-0.027313,0.240257,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,eth_ucy,scene_grounded,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,eth_ucy,scene_grounded,10,0.330902,0.582876,0.395439,0.713643,0.183239,-0.027313,0.240257,6,0.124989,0.121601,0.166667,0.083333,0.557434
scene_only_residual,tgsim,all,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,all,10,0.043015,0.112071,0.042997,0.112008,-0.000563,-0.001178,0.000599,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,all,25,0.26186,0.762301,0.257363,0.75285,-0.012554,-0.059953,-0.009544,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,all,50,0.995132,2.652456,0.982001,2.62938,-0.008776,-0.24734,0.153568,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,all,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,medium,1,0.000224,0.000224,0.000224,0.000224,0.0,0.0,0.0,2,0.0082,0.074051,0.0,0.0,1.242975
scene_only_residual,tgsim,medium,10,0.004015,0.011039,0.003985,0.010922,-0.001178,-0.00136,-0.000997,2,0.0082,0.074051,0.0,0.0,1.242975
scene_only_residual,tgsim,medium,25,0.01514,0.025858,0.012411,0.019863,-0.059953,-0.060619,-0.059287,2,0.0082,0.074051,0.0,0.0,1.242975
scene_only_residual,tgsim,medium,50,0.04155,0.097973,0.027277,0.069851,-0.281218,-0.2986,-0.19608,2,0.0082,0.074051,0.0,0.0,1.242975
scene_only_residual,tgsim,medium,100,0.064928,0.129012,0.064928,0.129012,0.0,0.0,0.0,2,0.0082,0.074051,0.0,0.0,1.242975
scene_only_residual,tgsim,hard,1,0.002428,0.002428,0.002428,0.002428,0.0,0.0,0.0,2,0.0082,0.351024,0.0,0.0,1.457624
scene_only_residual,tgsim,hard,10,0.082015,0.213103,0.08201,0.213094,-3.9e-05,-0.00031,0.001131,2,0.0082,0.351024,0.0,0.0,1.457624
scene_only_residual,tgsim,hard,25,0.50858,1.498745,0.502315,1.485838,-0.008687,-0.013342,-0.008279,2,0.0082,0.351024,0.0,0.0,1.457624
scene_only_residual,tgsim,hard,50,1.948713,5.20694,1.936726,5.18891,-0.003475,-0.006128,0.270118,2,0.0082,0.351024,0.0,0.0,1.457624
scene_only_residual,tgsim,hard,100,5.254347,11.995052,5.254347,11.995052,0.0,0.0,0.0,2,0.0082,0.351024,0.0,0.0,1.457624
scene_only_residual,tgsim,baseline_failure,1,0.004669,0.004669,0.004669,0.004669,0.0,,,1,0.0082,0.600398,0.0,0.0,1.680111
scene_only_residual,tgsim,baseline_failure,10,0.160019,0.418328,0.159947,0.418199,-0.00031,,,1,0.0082,0.600398,0.0,0.0,1.680111
scene_only_residual,tgsim,baseline_failure,25,1.010747,2.98146,0.998028,2.956981,-0.008279,,,1,0.0082,0.600398,0.0,0.0,1.680111
scene_only_residual,tgsim,baseline_failure,50,3.879178,10.355452,3.847094,10.292379,-0.006128,,,1,0.0082,0.600398,0.0,0.0,1.680111
scene_only_residual,tgsim,baseline_failure,100,10.089779,20.967461,10.089779,20.967461,0.0,,,1,0.0082,0.600398,0.0,0.0,1.680111
scene_only_residual,tgsim,traffic,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,traffic,10,0.043015,0.112071,0.042997,0.112008,-0.000563,-0.001178,0.000599,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,traffic,25,0.26186,0.762301,0.257363,0.75285,-0.012554,-0.059953,-0.009544,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,traffic,50,0.995132,2.652456,0.982001,2.62938,-0.008776,-0.24734,0.153568,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,traffic,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t50,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t50,10,0.043015,0.112071,0.042997,0.112008,-0.000563,-0.001178,0.000599,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t50,25,0.26186,0.762301,0.257363,0.75285,-0.012554,-0.059953,-0.009544,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t50,50,0.995132,2.652456,0.982001,2.62938,-0.008776,-0.24734,0.153568,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t50,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t100,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t100,10,0.043015,0.112071,0.042997,0.112008,-0.000563,-0.001178,0.000599,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t100,25,0.26186,0.762301,0.257363,0.75285,-0.012554,-0.059953,-0.009544,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t100,50,0.995132,2.652456,0.982001,2.62938,-0.008776,-0.24734,0.153568,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,verified_t100,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,scene_grounded,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,scene_grounded,10,0.043015,0.112071,0.042997,0.112008,-0.000563,-0.001178,0.000599,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,scene_grounded,25,0.26186,0.762301,0.257363,0.75285,-0.012554,-0.059953,-0.009544,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,scene_grounded,50,0.995132,2.652456,0.982001,2.62938,-0.008776,-0.24734,0.153568,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim,scene_grounded,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.212538,0.0,0.0,1.350299
scene_only_residual,tgsim_i90,all,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.339407,0.485235,0.6,0.1,1.97479
