model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,alpha_regularization,residual_clip,hard_failure_weight,t100_weight,interaction_mode,scene_goal_mode
residual_no_alpha,eth_ucy_ewap,hard,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,verified_t50,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,1,0.627446,0.627446,0.60757,0.60757,-0.032713,13,1.0,0.029969,0.970031,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,5,2.905797,2.905797,2.937948,2.937948,0.010943,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,10,5.532909,5.532909,5.566892,5.566892,0.006104,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,25,5.790716,5.790716,5.813266,5.813266,0.003879,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,50,4.289959,4.289959,4.312465,4.312465,0.005219,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,all,100,5.875909,5.875909,5.923605,5.923605,0.008052,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,easy,1,0.627446,0.627446,0.60757,0.60757,-0.032713,13,1.0,0.029969,0.970031,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,easy,5,2.905797,2.905797,2.937948,2.937948,0.010943,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,easy,10,5.532909,5.532909,5.566892,5.566892,0.006104,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap_stage14,easy,25,5.790716,5.790716,5.813266,5.813266,0.003879,13,1.0,0.05,0.95,2,low,0.05,1,1,none,none
