view,action,policy,complete_selected,predicted_positive,observed_positive,predicted_net,observed_net,predicted_denominator,observed_denominator
gates_seed17,damped_velocity_005,old_positive_population,684,30.03671897236036,27.860560238129096,-44.89939115759121,-41.30380882491201,290.74194835957115,275.56492195239275
hyang_seed17,damped_velocity_005,old_positive_population,4215,199.46601363376408,181.8952502492557,-213.1942533814833,-263.1266042147826,1715.0264838006865,2170.1413462342257
coupa_seed17,damped_velocity_005,positive_point,737,19.89982223900229,1.1818767123121292,-260.7541838581151,-415.11548013756635,1413.1550211155832,1962.9534202455486
deathCircle_seed17,damped_velocity_005,positive_point,136,1.7857531203200712,2.7778884723744453,-30.100484150289176,-34.80097367585387,130.5744709018299,157.49314888576657
gates_seed17,damped_velocity_005,positive_point,118,1.5973493251353752,0.8107537144583905,-26.10812063245783,-34.14072207384316,124.77948800405716,155.98692106069996
hyang_seed17,damped_velocity_005,positive_point,778,10.154249125767922,6.729806637054864,-136.13579422446293,-188.85566930990717,699.8882787316538,961.3245505927639
coupa_seed17,damped_velocity_005,net_point,2967,127.00582751204483,39.229403796270425,-673.0690095090882,-625.9190797081909,3425.5239232796657,3029.3637309720143
deathCircle_seed17,damped_velocity_005,net_point,1203,34.13894883602897,31.369045563859252,-76.37010986590823,-79.07063427312782,426.6232258617651,548.3448899472291
gates_seed17,damped_velocity_005,net_point,648,21.937751539103324,7.088010114465729,-62.20830708110017,-72.48260483992058,323.180735262009,296.29290313046
hyang_seed17,damped_velocity_005,net_point,3839,105.85677806520738,102.57973285519083,-366.4487916210427,-389.8294443647369,1908.220441312169,2345.6595476448438
coupa_seed17,damped_velocity_005,positive_population,2891,147.19774689318467,25.624225899507515,-586.3731518839439,-589.2816279288475,3162.9209108509785,2789.632543412369
deathCircle_seed17,damped_velocity_005,positive_population,1754,113.98774942642385,64.79975024109872,7.414835383907636,-29.156525570262676,430.53440063787554,472.13009725983477
gates_seed17,damped_velocity_005,positive_population,618,24.818634848740675,27.860560238129096,-44.07391224357826,-35.217067855952806,272.3628342968806,255.46401894262638
hyang_seed17,damped_velocity_005,positive_population,4096,166.1130456894641,178.03877913751535,-238.6195125422284,-249.873615421251,1685.5680685068137,2096.4732241628367
coupa_seed17,damped_velocity_005,net_population,3550,333.73480531801346,128.95639228631933,-488.9961604512336,-538.2191015982658,3573.8765098154317,3076.3794941161127
deathCircle_seed17,damped_velocity_005,net_population,2395,187.5417254256152,83.11742343960873,45.47404186718801,-36.238524032867474,583.8969882144158,609.3278670207875
gates_seed17,damped_velocity_005,net_population,899,55.832401829735076,33.780860138742995,-37.112353584170485,-48.98947547965194,364.96913605652776,339.4673450489511
hyang_seed17,damped_velocity_005,net_population,5930,385.01176970772644,421.96000706451366,-132.9654146545619,-84.36804135248478,2127.420860106397,2662.841735130749
coupa_seed17,damped_velocity_005,net_matched_positive,2857,218.90492819683882,106.2660128471894,-469.4457789724012,-450.96378911978195,2950.4354071693942,2539.0013913647476
deathCircle_seed17,damped_velocity_005,net_matched_positive,1737,135.04418064035747,50.24880123591754,36.65530252683172,-33.10458961194898,397.41944923200447,400.53329513112703
gates_seed17,damped_velocity_005,net_matched_positive,618,28.98974569838701,27.860560238129096,-37.77793655192569,-31.510219376137908,262.6744925158615,241.80345795941648
hyang_seed17,damped_velocity_005,net_matched_positive,4063,219.4937528375852,215.39148918826612,-160.68092807691642,-174.27719411064663,1582.0215605188603,1962.71804643698
