family,candidate,control,ade,fde,gain_percent,easy_degradation_percent,hard_gain_percent,positive_harm,p95_error,switch_rate,proximity
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,6.081288320877805,14.133080545507704,-0.08769206976358085,1140.0652810252398,0.009527496930281073,0.006993231039479979,1.7332810333295796,0.03629384513567174,1.8133931835766614e-05
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,6.081288320877805,14.133080545507704,-0.08769206976358085,1140.0652810252398,0.009527496930281073,0.006993231039479979,1.7332810333295796,0.03629384513567174,1.8133931835766614e-05
eqmotion,seed43_ridge_conservative,independent_coupling_reference,6.098941341274261,14.139936274491527,-0.3782308464691605,3639.0895260974785,-0.07916950889037633,0.024489014220671127,1.8522700560133867,0.04825943084050298,2.1505304151606666e-05
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,6.098941341274261,14.139936274491527,-0.3782308464691605,3639.0895260974785,-0.07916950889037633,0.024489014220671127,1.8522700560133867,0.04825943084050298,2.1505304151606666e-05
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,6.098941341274261,14.139936274491527,-0.3782308464691605,3639.0895260974785,-0.07916950889037633,0.024489014220671127,1.8522700560133867,0.04825943084050298,2.1505304151606666e-05
eqmotion,seed43_ridge_moderate,independent_coupling_reference,6.099906697159418,14.140653335655617,-0.3941189671227393,3824.5684576061626,-0.07971539406119543,0.025521184744394517,1.8554591301733574,0.05265387160820648,2.2052743945678524e-05
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,6.099906697159418,14.140653335655617,-0.3941189671227393,3824.5684576061626,-0.07971539406119543,0.025521184744394517,1.8554591301733574,0.05265387160820648,2.2052743945678524e-05
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,6.099906697159418,14.140653335655617,-0.3941189671227393,3824.5684576061626,-0.07971539406119543,0.025521184744394517,1.8554591301733574,0.05265387160820648,2.2052743945678524e-05
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,6.077975124933164,14.13047290458452,-0.03316248360079526,452.69185538527887,0.007829261762145923,0.0033646949378341646,1.6918293135632632,0.02917273328921244,1.7491301403951743e-05
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,6.077975124933164,14.13047290458452,-0.03316248360079526,452.69185538527887,0.007829261762145923,0.0033646949378341646,1.6918293135632632,0.02917273328921244,1.7491301403951743e-05
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,6.077975124933164,14.13047290458452,-0.03316248360079526,452.69185538527887,0.007829261762145923,0.0033646949378341646,1.6918293135632632,0.02917273328921244,1.7491301403951743e-05
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,6.079057014764015,14.130987487695938,-0.05096855536224437,680.0189663875929,0.009559556922424188,0.0050990381498748506,1.6998898894931744,0.044659166115155524,2.532661969715688e-05
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,6.079057014764015,14.130987487695938,-0.05096855536224437,680.0189663875929,0.009559556922424188,0.0050990381498748506,1.6998898894931744,0.044659166115155524,2.532661969715688e-05
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,6.079057014764015,14.130987487695938,-0.05096855536224437,680.0189663875929,0.009559556922424188,0.0050990381498748506,1.6998898894931744,0.044659166115155524,2.532661969715688e-05
