view,locality,slice,rows,mean_cv,gain_pred,gain_actual,harm_pred,harm_actual,gain_mae,harm_mae,risk_mass_pred,risk_mass_actual,risk_harm_pred,risk_harm_actual,risk_mass_mae,risk_harm_mae
damping097_fold2_seed17_all_risk_only,eu-locality-112,selected,2246,14.483048248698626,1.449404001235962,0.9352587452415035,0.36125221848487854,0.03560108725053913,0.9318677029415043,0.36789514213438074,16.159635543823242,14.483048248698614,0.1512262374162674,0.03560108725053913,12.02518240454589,0.16732988393353254
damping097_fold2_seed17_all_risk_only,eu-locality-119,population,5639,28.946880038043894,2.699147939682007,2.417453110440135,1.0482016801834106,1.2550304636548228,2.442101250429375,1.5757743333834875,21.471744537353516,28.9468800380438,1.0259556770324707,1.2550304636548228,20.801469031829203,1.4775294812318693
damping097_fold2_seed17_all_risk_only,eu-locality-119,selected,2321,16.375468653017254,2.35866379737854,1.663443475645464,0.4494083523750305,0.10164783987555229,1.4106984962117881,0.48771937124241843,18.185510635375977,16.37546865301725,0.13097794353961945,0.10164783987555229,14.913673356017876,0.1992466870167189
damping097_fold2_seed17_all_risk_only,eu-locality-124,population,3550,42.613481942133895,2.439028739929199,3.4453156411528867,1.133751392364502,0.9673445252204965,3.0043593423987316,1.5015806775143694,20.353208541870117,42.61348194213386,1.1416361331939697,0.9673445252204965,32.0461883120151,1.4264391669412375
damping097_fold2_seed17_all_risk_only,eu-locality-124,selected,1695,24.919308013028466,2.6173651218414307,2.0954559772677612,0.34786859154701233,0.17013202328627275,1.9501011773682009,0.4795518967917137,18.887950897216797,24.919308013028473,0.13999375700950623,0.17013202328627275,20.692776177696206,0.27576781998239874
damping097_fold2_seed17_all_risk_only,eu-locality-126,population,5790,19.860903597678185,1.8882336616516113,1.7888685362369685,0.8453665375709534,0.5669997723146128,1.7607727653582492,0.9963020042743649,20.081064224243164,19.860903597678202,0.747067928314209,0.5669997723146128,16.857875885493396,0.8746300161984792
damping097_fold2_seed17_all_risk_only,eu-locality-126,selected,3613,10.206964649767146,1.7863309383392334,1.0347953102525735,0.46111294627189636,0.03754123976000332,1.223493066692468,0.4849520957433065,17.96234893798828,10.20696464976713,0.10200195759534836,0.03754123976000332,14.141665076638269,0.12886651884491776
damping097_fold2_seed17_all_both,eu-locality-007,population,5526,13.731098649130566,0.9612500071525574,1.283424938486193,0.4940309226512909,0.39409710457999486,0.979789747091791,0.5546554836081073,14.9977445602417,13.731098649130544,0.4789864122867584,0.39409710457999486,10.531810292265343,0.5696069637552995
damping097_fold2_seed17_all_both,eu-locality-007,selected,2363,11.483763337213398,1.397318720817566,1.5021723887999654,0.058267317712306976,0.12441016305082042,0.9436524251624635,0.16842004447615486,16.18390655517578,11.483763337213404,0.07531073689460754,0.12441016305082042,10.081667896704518,0.18110996650766745
damping097_fold2_seed17_all_both,eu-locality-074,population,102348,19.761464600296893,1.355870246887207,1.8363132085555802,0.7183418273925781,0.7370270630916215,1.4041867178901204,0.9001561032073144,19.681901931762695,19.761464600296776,0.7211969494819641,0.7370270630916215,13.581502267758387,0.9246867036231033
damping097_fold2_seed17_all_both,eu-locality-074,selected,40203,16.196832005938983,1.5663560628890991,1.854001758705572,0.1356649249792099,0.1486575861421336,1.037066361925784,0.24914429246133246,19.68868637084961,16.196832005938866,0.1304360330104828,0.1486575861421336,12.75299231240163,0.24418378985583553
damping097_fold2_seed17_all_both,eu-locality-082,population,1368,13.688548886436024,0.9298398494720459,1.270129165930008,0.60523921251297,0.5493385733695222,1.2781894517490804,0.7304644061775213,12.300915718078613,13.688548886436054,0.6936355829238892,0.5493385733695222,11.234698588154565,0.8648088575771089
damping097_fold2_seed17_all_both,eu-locality-082,selected,441,10.203140418011136,1.1262457370758057,1.1292363282345612,0.04494282975792885,0.07758166678298249,1.100636155063551,0.1138140994639775,15.527769088745117,10.203140418011124,0.0776173323392868,0.07758166678298249,12.007992491378106,0.14249366860050963
damping097_fold2_seed17_all_both,eu-locality-110,population,8550,30.697946977148565,1.2848297357559204,2.379943167912348,0.6237218976020813,0.26440351815398194,1.6195956294604144,0.6652762778934759,20.514095306396484,30.697946977148565,0.6257385611534119,0.26440351815398194,22.708241090905716,0.6831034820750145
damping097_fold2_seed17_all_both,eu-locality-110,selected,4939,19.400323264519788,1.157657265663147,1.5800561581335018,0.12802614271640778,0.06623751602233394,0.8264939169437763,0.1799579641280134,19.21462059020996,19.400323264519717,0.13576726615428925,0.06623751602233394,17.537582998793553,0.18722939998697874
damping097_fold2_seed17_all_both,eu-locality-112,population,5004,24.679682084525158,1.0474803447723389,1.8116739259149108,0.6310474276542664,0.4293223724095752,1.460272097872323,0.7542656273646967,16.704965591430664,24.679682084525137,0.7029359936714172,0.4293223724095752,16.42154640436706,0.8205299910833337
damping097_fold2_seed17_all_both,eu-locality-112,selected,1950,15.240132796002468,0.7165732383728027,1.0166167276339477,0.1366572082042694,0.03801496670925519,0.6938313439397567,0.15889649918146753,16.513530731201172,15.240132796002442,0.15246830880641937,0.03801496670925519,12.340458330066271,0.17070615133793995
damping097_fold2_seed17_all_both,eu-locality-119,population,5639,28.946880038043894,2.0376293659210205,2.417453110440135,0.9640567302703857,1.2550304636548228,2.125588784266896,1.4661062825156996,21.471744537353516,28.9468800380438,1.0259556770324707,1.2550304636548228,20.801469031829203,1.4775294812318693
damping097_fold2_seed17_all_both,eu-locality-119,selected,2055,17.46841448951814,1.39778733253479,1.845828526616131,0.13419988751411438,0.1126022694209214,0.8877928716942758,0.21054460265459163,18.999557495117188,17.468414489518135,0.13495172560214996,0.1126022694209214,15.504577272024017,0.2115856333706409
damping097_fold2_seed17_all_both,eu-locality-124,population,3550,42.613481942133895,2.2237305641174316,3.4453156411528867,1.1631618738174438,0.9673445252204965,2.7369981622190025,1.4315214280881285,20.353208541870117,42.61348194213386,1.1416361331939697,0.9673445252204965,32.0461883120151,1.4264391669412375
damping097_fold2_seed17_all_both,eu-locality-124,selected,1456,27.824428010885786,2.242382287979126,2.3828882573682333,0.1342843621969223,0.19673101324945486,1.454380422373916,0.2967779009541219,19.75814437866211,27.82442801088578,0.14497171342372894,0.19673101324945486,22.4256357632634,0.30310398357780666
damping097_fold2_seed17_all_both,eu-locality-126,population,5790,19.860903597678185,1.2672559022903442,1.7888685362369685,0.7291001081466675,0.5669997723146128,1.3642256087650728,0.7969021036744468,20.081064224243164,19.860903597678202,0.747067928314209,0.5669997723146128,16.857875885493396,0.8746300161984792
damping097_fold2_seed17_all_both,eu-locality-126,selected,3011,11.155003770795581,0.9169511795043945,1.1942585635381417,0.0841900184750557,0.04339884628564492,0.6226972554027971,0.11695305039879818,18.711233139038086,11.15500377079556,0.10511752963066101,0.04339884628564492,14.573624850327954,0.13729279012118867
damping097_fold2_seed17_easy_old,eu-locality-007,population,5526,13.731098649130566,1.454270601272583,1.283424938486193,0.7815154194831848,0.39409710457999486,1.30728007937349,0.7798170906237859,0.5818268883939844,0.45572943395644705,0.03133437722586727,0.010824577544571085,0.618758331573541,0.04121472845149979
damping097_fold2_seed17_easy_old,eu-locality-007,selected,2367,11.439963292949725,1.6851170063018799,1.1618100061281722,0.21262922883033752,0.106619865394693,1.181341808121822,0.2832015417098316,0.6353052398713513,0.5512520369776988,0.002857896085855597,0.009448712824331552,0.6761032410911011,0.012054429637129577
damping097_fold2_seed17_easy_old,eu-locality-074,population,102348,19.761464600296893,1.981818437576294,1.8363132085555802,0.8608160614967346,0.7370270630916215,1.6151273684366887,0.9891181261588461,0.4653759774361427,0.34144553308822634,0.018090946878736823,0.02085376647098149,0.5915976004009373,0.03793464382017871
damping097_fold2_seed17_easy_old,eu-locality-074,selected,56635,16.951693476371197,1.8261091709136963,1.460427029389096,0.35664311051368713,0.3183813659089463,1.3182631533714924,0.5233713015277841,0.5173351347981945,0.4387819227298915,0.0014654365120877338,0.01585695730071771,0.6692430843751795,0.01723873004181681
damping097_fold2_seed17_easy_old,eu-locality-082,population,1368,13.688548886436024,1.0937221050262451,1.270129165930008,0.7440800666809082,0.5493385733695222,1.4614252831455472,0.8868115193858376,0.6331588781567956,0.6133490785179524,0.06792179465730344,0.010908787728119264,0.6933130254866541,0.07705492917460659
damping097_fold2_seed17_easy_old,eu-locality-082,selected,116,10.560040722124912,0.8459897041320801,0.7311121035517595,0.09086821228265762,0.04143949445684468,0.8133515711753929,0.10456006835896518,0.8324391933389867,0.7773658824874812,0.006475909099249043,0.02415935125438837,0.8622454418678679,0.030407425981992035
