arm,schedule,mode,group_type,group,rows,ade,cv_ade,gain_percent,harm_over_cv,easy_pixel_harm,actual_changed_rate
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:182,25,12.487645984328896,0.0,,12.487645984328896,0.012487646577460255,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:184,18,20.310043712562212,0.0,,20.310043712562212,0.02031004467723753,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:208,5,1169.5543096525198,1169.0197252218622,-0.04572929088566546,0.5345844306576509,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:218,26,23.605940349754352,0.0,,23.605940349754352,0.023605941470976357,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:239,25,26.619882242537848,0.0,,26.619882242537848,0.026619883506914403,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:240,15,21.184589138526864,0.0,,21.184589138526864,0.02118459014474085,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:242,43,413.06353025917775,401.54060174232103,-2.8696795459432156,11.522928516856798,0.016225452590691768,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:243,63,539.7202863689612,527.847916474434,-2.2492027578368434,11.872369894527349,0.019200942247568124,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:27,82,1454.3542772796836,1440.7955592647409,-0.9410577321505631,13.558718014942617,0.02558071063777336,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:280,2,3340.8949196963476,3335.412033596108,-0.16438407144343525,5.482886100239739,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:281,25,17.401656433620982,0.0,,17.401656433620982,0.01740165726015531,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:285,16,916.2303956226357,906.3006616153684,-1.0956335383854654,9.929734007267315,0.019205169333710914,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:286,26,14.355206939868323,0.0,,14.355206939868323,0.01435520762170407,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:287,26,14.439294399057179,0.0,,14.439294399057179,0.014439295084886863,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:299,6,8085.489500906414,8083.907783210015,-0.01956625111043664,1.5817176964001192,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:307,82,805.5589856975779,790.9406023927345,-1.8482277001105052,14.618383304843498,0.03345161735476238,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:308,45,1122.3109382518958,1113.6601869593508,-0.7767855395966361,8.650751292545314,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:309,79,666.8502619278189,646.1233585307223,-3.2078864079808866,20.72690339709671,0.03642459022397006,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:35,15,1652.1399725534877,1624.1160461352722,-1.725487934492187,28.02392641821546,0.03612830824959819,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:44,27,1313.572829386414,1297.9634083033181,-1.2026087163350851,15.609421083095397,0.0345924735888664,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:5,15,706.9022477590692,698.9043090985111,-1.1443538917186302,7.997938660557952,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:56,5,1920.8639308147856,1915.8749284104038,-0.26040334524974895,4.989002404382108,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:61,44,1058.0072184226292,1045.5040602377933,-1.1958976210950434,12.503158184835678,0.019646630813022602,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:71,43,442.09335868991116,429.90252554010084,-2.8357202913601443,12.190833149810324,0.01876906731834879,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:73,36,466.79417346289824,453.2698325054156,-2.983728452151313,13.524340957482652,0.018664324747540567,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:75,40,298.69805735831113,283.41044243751486,-5.3941607759095955,15.287614920796324,0.0187946811990707,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:82,25,23.794712713106033,0.0,,23.794712713106033,0.02379471384329424,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:87,54,920.7753206183436,908.0702902147319,-1.399124114126371,12.705030403611632,0.031723122904519195,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video1:88,35,255.68175482449473,229.30043733082388,-11.505131782897182,26.381317493670835,0.03140079478035356,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:113,35,263.316526368751,235.77690723032242,-11.680371696251846,27.539619138428588,0.03287736467579942,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:142,25,30.6995078669795,0.0,,30.6995078669795,0.030699509325127872,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:168,3,40.758980754126895,0.0,,40.758980754126895,0.0407589826900746,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:17,26,26.81775609238874,0.0,,26.81775609238874,0.026817757366163816,1.0
