group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-048,2478,51.47030877561316,63.88573915651315,19.4338056424197,113.86996019742813,185.37081133033547,138.97729297348553
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-067,2296,51.41848731458651,65.07172046247634,20.981822903795788,119.92001672445612,180.78884660848453,143.40335944857748
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-074,19310,46.36895224352642,60.351879335065945,23.169000279027095,107.59143779103468,186.30099883210372,136.81762092091788
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-082,184,45.450767601872705,55.75797833667997,18.485624913747532,103.76389729581066,176.89632495568267,112.9711774505625
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-112,1153,55.588341954901615,70.01758802603055,20.608030750451668,139.8701114047021,218.49993663377958,174.675987810338
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-126,1110,57.40552970939059,74.02161712516786,22.447614711902432,139.25176245575557,219.73738366286378,160.69598223874476
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-008,157961,14.903329708515258,18.041144590837536,17.392548829279175,51.769554772808334,105.39390356146235,63.85471877568163
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-020,1225,5.874483897869231,6.514432089833121,9.823545370326869,18.763709465028253,38.78548288034698,20.950455289077674
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-048,8058,21.794934910325647,26.568426516120656,17.96678325266513,73.98198457151597,130.49485402124438,89.49939807482255
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-067,6903,23.370292569386844,28.87697837044287,19.06946679259355,76.57878855784854,140.80858386280676,92.96468374261876
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-074,102348,15.612553275087706,19.540144919218633,20.10011522620777,52.39603478290861,104.86683953092522,64.46142956732993
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-082,1368,11.452640345938583,13.564534585131002,15.569234800782683,41.82934875571353,91.79697484853989,52.30649963956743
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-112,5004,19.677379039031237,24.377253499056568,19.279753809046706,70.44442593727165,142.2429209210359,86.2710070848162
fold1_seed17_easy,union_oracle,ADE_vs_floor,all,eu-locality-126,5790,15.603981266987853,19.645962498046178,20.574106417337944,70.18241512609285,137.74378399659582,86.5533275336093
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-008,39889,1.4821524086585987,1.7124634754637011,13.449108264498244,2.76764851348595,3.210088737466094,3.0954122497682435
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-020,593,1.1263749067514597,1.2667120183194382,11.078848983699185,2.89535412823067,3.281873299441771,3.0442506244225767
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-048,1582,1.4630298084748465,1.6796162978639069,12.894998081675524,2.7856124866279623,3.2751954476690037,3.080321842954575
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-067,1219,1.457451768365678,1.6058934268181635,9.24355601520832,2.9350513005212515,3.250301056909791,3.1204027321405072
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-074,17048,1.7005770481749847,1.9698182133276747,13.668325499836486,3.023948553223389,3.347268721823223,3.248088316777988
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-082,513,1.3635930507315592,1.5717224694033087,13.242122748984054,2.7012301393781466,3.1019714340242155,2.9910454520185303
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-112,571,1.779428145212428,2.011879820091856,11.553954294785617,2.989410537156318,3.17525183991918,3.1756828589252075
fold1_seed17_easy,union_oracle,ADE_vs_floor,easy,eu-locality-126,2160,1.2060242529882665,1.4103792615006157,14.489365668559206,2.630110322588133,3.075190938285168,2.9648916649582264
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-008,28100,48.26700628219676,60.57267643715081,20.315546346581215,109.9755453930309,181.86170715951528,138.38282192988999
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-020,30,39.011187569482445,43.951869033620255,11.241118006514162,59.022210599910814,65.32265319399764,64.72063289570352
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-048,2478,51.42620694829317,63.81613301956246,19.415037365976453,112.94423551616978,185.3158272090657,138.97729297348553
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-067,2296,51.38967854013779,64.95146996619232,20.87988375492277,119.09062751142979,180.78884660848453,143.40335944857748
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-074,19310,46.32703049940113,60.00555441541746,22.795429605266428,107.48505423869719,186.29577463872113,136.34580362984687
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-082,184,45.357255634949695,55.56439239170911,18.36992418598362,103.76389729581066,176.89632495568267,111.15642414153585
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-112,1153,55.49033827657531,69.78349615436602,20.482146446450944,139.17071778911446,218.49993663377958,174.675987810338
fold1_seed17_easy,union_oracle,ADE_vs_floor,hard,eu-locality-126,1110,57.33826608465506,73.83050161725946,22.337970312190023,139.25176245575557,219.73738366286378,160.69598223874476
