view,locality,slice,rows,positive_rows,probability_mean,positive_rate,brier,ece,positive_fraction_mse
damping097_fold0_seed17_easy_product_mse,eu-locality-048,selected,3727,148,0.022457171231508255,0.03971022269922189,0.038093451410532,0.01730901111434093,0.016257096245332038
damping097_fold0_seed17_easy_product_mse,eu-locality-067,population,6903,255,0.019519174471497536,0.03694046066927423,0.03557892143726349,0.017660779919241646,0.015935769748912823
damping097_fold0_seed17_easy_product_mse,eu-locality-067,selected,2516,152,0.020631367340683937,0.06041335453100159,0.05774691328406334,0.039781987190317655,0.014011394088985961
damping097_fold0_seed17_easy_product_mse,eu-locality-110,population,8550,181,0.023854581639170647,0.021169590643274852,0.020680367946624756,0.0026849909958957946,0.012356977599085606
damping097_fold0_seed17_easy_product_mse,eu-locality-110,selected,6112,157,0.024668419733643532,0.02568717277486911,0.024925505742430687,0.0010187530412255792,0.011365617467499397
damping097_fold0_seed17_easy_product_mse,eu-locality-119,population,5639,179,0.021032068878412247,0.03174321688242596,0.030805330723524094,0.010890644439401137,0.012880623414610553
damping097_fold0_seed17_easy_product_mse,eu-locality-119,selected,2686,78,0.022083748131990433,0.029039463886820552,0.02839287370443344,0.00695571575483012,0.011807653852003311
damping097_fold0_seed17_easy_product_mse,eu-locality-124,population,3550,77,0.021323757246136665,0.021690140845070423,0.021188415586948395,0.000690656139082471,0.01208550526111553
damping097_fold0_seed17_easy_product_mse,eu-locality-124,selected,1915,48,0.02520722709596157,0.025065274151436032,0.024410618469119072,0.0001419529445255384,0.014015728422924973
damping097_fold0_seed17_easy_hurdle,eu-locality-007,population,5526,367,0.04626920446753502,0.0664133188563156,0.06174007058143616,0.026842954976755862,0.012387736111158537
damping097_fold0_seed17_easy_hurdle,eu-locality-007,selected,1905,149,0.04339451342821121,0.07821522309711286,0.07345554977655411,0.045876488028939934,0.014186564755590459
damping097_fold0_seed17_easy_hurdle,eu-locality-008,population,157961,5312,0.029851211234927177,0.033628553883553534,0.03267967700958252,0.007052722364593706,0.013106870563398128
damping097_fold0_seed17_easy_hurdle,eu-locality-008,selected,74912,3143,0.02890758402645588,0.04195589491670226,0.040358491241931915,0.014655202188075943,0.013242016041387753
damping097_fold0_seed17_easy_hurdle,eu-locality-020,population,1225,172,0.08989260345697403,0.1404081632653061,0.13188576698303223,0.09438029765474552,0.021057465749656085
damping097_fold0_seed17_easy_hurdle,eu-locality-020,selected,215,15,0.10278045386075974,0.06976744186046512,0.08851229399442673,0.09169204604140546,0.011370833318458784
damping097_fold0_seed17_easy_hurdle,eu-locality-048,population,8058,233,0.027650682255625725,0.02891536361379995,0.027864404022693634,0.001461059356662616,0.012285425158814043
damping097_fold0_seed17_easy_hurdle,eu-locality-048,selected,2870,137,0.031462378799915314,0.04773519163763066,0.045372337102890015,0.016272812474272393,0.012886715890160156
damping097_fold0_seed17_easy_hurdle,eu-locality-067,population,6903,255,0.037605464458465576,0.03694046066927423,0.03578712046146393,0.0057726446261237374,0.012782146251133003
damping097_fold0_seed17_easy_hurdle,eu-locality-067,selected,2124,143,0.0374971367418766,0.06732580037664783,0.06418823450803757,0.03738505648634978,0.010066793508535203
damping097_fold0_seed17_easy_hurdle,eu-locality-110,population,8550,181,0.03168231248855591,0.021169590643274852,0.021243823692202568,0.01051272197577514,0.009634332308064047
