view,locality,slice,rows,reference_pred,harm_pred,reference_actual,harm_actual
neural_fold0_seed17_all_envelope,eu-locality-008,selected,23689,16.842811584472656,0.13746188580989838,5.1482508423482285,0.058997440659755505
neural_fold0_seed17_all_envelope,eu-locality-020,population,1225,16.549243927001953,1.6224164962768555,6.529874789510041,3.4185153079410417
neural_fold0_seed17_all_envelope,eu-locality-020,selected,117,6.712185382843018,0.0647355243563652,2.098100864161094,0.0023364157517494536
neural_fold0_seed17_all_envelope,eu-locality-048,population,8058,32.84730529785156,3.441833019256592,26.698045849916557,4.41455534858953
neural_fold0_seed17_all_envelope,eu-locality-048,selected,1144,16.645212173461914,0.1522333174943924,6.481915382580688,0.1206335215327946
neural_fold0_seed17_all_envelope,eu-locality-067,population,6903,25.40411376953125,2.7532529830932617,29.01155393353873,3.00909479815102
neural_fold0_seed17_all_envelope,eu-locality-067,selected,660,13.620495796203613,0.116633340716362,6.348328713941708,0.04408243315679148
neural_fold0_seed17_all_envelope,eu-locality-110,population,8550,25.060665130615234,1.7790226936340332,30.697946977148565,0.9645959440405419
neural_fold0_seed17_all_envelope,eu-locality-110,selected,1469,16.591751098632812,0.15873628854751587,6.154990612737623,0.031278526262218394
neural_fold0_seed17_all_envelope,eu-locality-119,population,5639,25.865686416625977,2.178626775741577,28.9468800380438,2.1602982466551466
neural_fold0_seed17_all_envelope,eu-locality-119,selected,678,16.03658676147461,0.16910772025585175,8.333181706904293,0.058495279885712854
neural_fold0_seed17_all_envelope,eu-locality-124,population,3550,27.952804565429688,2.7992141246795654,42.61348194213386,2.665158446331483
neural_fold0_seed17_all_envelope,eu-locality-124,selected,416,18.24686050415039,0.2022603154182434,12.858483203206088,0.12170461765717168
neural_fold0_seed17_all_product_mse,eu-locality-007,population,5526,18.372234344482422,1.5492992401123047,13.731098649130544,1.3636854239269718
neural_fold0_seed17_all_product_mse,eu-locality-007,selected,715,11.185860633850098,0.09955500811338425,5.256806424608643,0.08521282617370185
neural_fold0_seed17_all_product_mse,eu-locality-008,population,157961,26.73402214050293,2.4022793769836426,18.214515006924312,3.6625030508698213
neural_fold0_seed17_all_product_mse,eu-locality-008,selected,25446,16.45982551574707,0.1396878957748413,5.577436302424071,0.13300761179140147
neural_fold0_seed17_all_product_mse,eu-locality-020,population,1225,16.568777084350586,1.7164098024368286,6.529874789510041,3.4185153079410417
neural_fold0_seed17_all_product_mse,eu-locality-020,selected,118,6.775928974151611,0.05692078545689583,2.5963143391205885,0.002316615618260052
neural_fold0_seed17_all_product_mse,eu-locality-048,population,8058,32.79207229614258,3.328568458557129,26.698045849916557,4.41455534858953
neural_fold0_seed17_all_product_mse,eu-locality-048,selected,1193,17.40982437133789,0.16789861023426056,7.1627273748455655,0.14700663956451723
neural_fold0_seed17_all_product_mse,eu-locality-067,population,6903,25.32527732849121,2.5727901458740234,29.01155393353873,3.00909479815102
neural_fold0_seed17_all_product_mse,eu-locality-067,selected,712,15.054198265075684,0.13595423102378845,7.988385846170412,0.07020383735907176
neural_fold0_seed17_all_product_mse,eu-locality-110,population,8550,25.074495315551758,1.8221755027770996,30.697946977148565,0.9645959440405419
neural_fold0_seed17_all_product_mse,eu-locality-110,selected,1559,16.19689178466797,0.15402379631996155,5.885952682600218,0.03665881600912427
neural_fold0_seed17_all_product_mse,eu-locality-119,population,5639,25.8555908203125,2.240999937057495,28.9468800380438,2.1602982466551466
neural_fold0_seed17_all_product_mse,eu-locality-119,selected,701,16.683549880981445,0.17312441766262054,9.311302686086648,0.06850622553702952
