model,dataset,subset,horizon,FDE,baseline_FDE,improvement,ADE,episodes,alpha,intervention,residual,physical_validity
per_agent_scene_only,eth_ucy_ewap,goalbench_official,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,goalbench_official,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,silver,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,silver,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,silver,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,silver,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,silver,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,silver,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,ge2,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,ge2,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,ge2,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,ge2,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,ge2,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,ge2,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,ge5,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,ge5,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,ge5,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,ge5,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,ge5,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,ge5,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,metric,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,metric,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,metric,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,metric,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,metric,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,metric,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,trajnet,all,1,1.43376,1.434547,0.000549,1.43376,30,0.566133,1.0,0.200163,1.0
per_agent_scene_only,trajnet,all,5,10.363433,10.375013,0.001116,6.431628,30,0.566133,1.0,0.200163,0.893333
per_agent_scene_only,trajnet,all,10,20.752849,20.771859,0.000915,11.603111,30,0.566133,1.0,0.200163,0.916667
per_agent_scene_only,trajnet,hard,1,1.43376,1.434547,0.000549,1.43376,30,0.566133,1.0,0.200163,1.0
per_agent_scene_only,trajnet,hard,5,10.363433,10.375013,0.001116,6.431628,30,0.566133,1.0,0.200163,0.893333
per_agent_scene_only,trajnet,hard,10,20.752849,20.771859,0.000915,11.603111,30,0.566133,1.0,0.200163,0.916667
per_agent_scene_only,trajnet,baseline_failure,1,1.355414,1.35613,0.000527,1.355414,25,0.566133,1.0,0.207209,1.0
per_agent_scene_only,trajnet,baseline_failure,5,10.385323,10.398949,0.00131,6.364553,25,0.566133,1.0,0.207209,0.912
per_agent_scene_only,trajnet,baseline_failure,10,21.109506,21.131931,0.001061,11.747721,25,0.566133,1.0,0.207209,0.936
per_agent_scene_only,trajnet,goalbench_official,1,1.43376,1.434547,0.000549,1.43376,30,0.566133,1.0,0.200163,1.0
per_agent_scene_only,trajnet,goalbench_official,5,10.363433,10.375013,0.001116,6.431628,30,0.566133,1.0,0.200163,0.893333
