trial,family,schedule,seed,held_site,rows,agents,positive_rate,reference_prior,brier,brier_lift,auroc,auprc,ece,log_loss,training_weighted_brier,clipping_fraction,source_constant_prior_brier,source_constant_prior_lift
mlp_main_only_seed17_fold0,mlp,main_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3104593767060339,-0.03763007357370057,0.7164869029275809,0.8983198110706726,0.32808344499194475,1.8358320435081108,0.007848160466935388,0.0,0.27607036880805447,-0.03438900789797944
mlp_main_only_seed17_fold1,mlp,main_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.5056046682398075,-0.18551845200204126,0.44233558389597394,0.4418308424290545,0.4990443083537185,3.6317477347870986,1.8818420533947695e-07,0.0,0.2479353168156664,-0.25766935142414116
mlp_main_only_seed29_fold0,mlp,main_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.24469083599552952,0.02813846713680382,0.7457627118644067,0.8731498443084804,0.26148867628635886,1.6020165796352548,0.007460484729929466,0.0,0.27607036880805447,0.03137953281252495
mlp_main_only_seed29_fold1,mlp,main_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.5073719082338769,-0.18728569199611061,0.46641660415103775,0.44252760064553487,0.5054294964025616,3.906392708821391,1.6501607707543245e-07,0.0,0.2479353168156664,-0.2594365914182105
mlp_main_only_seed43_fold0,mlp,main_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2644919069012006,0.008337396231132721,0.7496147919876734,0.9109178620543187,0.252401828091849,1.7245302876700412,0.006655315966046558,0.0,0.27607036880805447,0.011578461906853854
mlp_main_only_seed43_fold1,mlp,main_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.49785134958848987,-0.17776513335072358,0.44618654663665913,0.42153844523102046,0.4938814628897772,4.086501472399927,1.6580573749185225e-07,0.0,0.2479353168156664,-0.24991603277282345
mlp_source_only_seed17_fold-1,mlp,source_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.39105454224812514,-0.1182252391157918,0.3428351309707242,0.6878968432026675,0.3974099937412474,1.021221226951379,0.23160281211280898,0.0005414478315014348,0.27607036880805447,-0.11498417344007067
mlp_source_only_seed17_fold-1,mlp,source_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.25809733069264995,0.061988885545116335,0.5736684171042761,0.49941956414423994,0.10233676606710526,0.7201736423484923,0.23160281211280898,0.0005414478315014348,0.2479353168156664,-0.010162013876983539
mlp_source_only_seed29_fold-1,mlp,source_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.37472625632320744,-0.1018969531908741,0.36594761171032353,0.705669769950974,0.3846201278545238,0.9755588264153147,0.2324402571176255,0.0005414478315014348,0.27607036880805447,-0.09865588751515297
mlp_source_only_seed29_fold-1,mlp,source_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.25972573511929675,0.06036048111846953,0.5483620905226306,0.46140572707302485,0.11456654803224013,0.717161213064653,0.2324402571176255,0.0005414478315014348,0.2479353168156664,-0.01179041830363034
mlp_source_only_seed43_fold-1,mlp,source_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.4102917270080659,-0.13746242387573254,0.3274268104776579,0.647638970804453,0.4384621487539491,1.0663483816942647,0.23194530001466832,0.0005414478315014348,0.27607036880805447,-0.1342213582000114
mlp_source_only_seed43_fold-1,mlp,source_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.26545847750307683,0.05462773873468946,0.5383595898974743,0.45501032906764555,0.13412034482708277,0.7326856922352597,0.23194530001466832,0.0005414478315014348,0.2479353168156664,-0.017523160687410416
mlp_mixed_seed17_fold0,mlp,mixed,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.38860151559280054,-0.1157722124604672,0.5600924499229584,0.8020516150194374,0.41097939670959743,1.1715600673180717,0.15353925540623292,0.0,0.27607036880805447,-0.11253114678474607
mlp_mixed_seed17_fold1,mlp,mixed,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.29993023628331494,0.020155979954451342,0.5707676919229807,0.5211968565519244,0.1958841655377141,0.9108398122503161,0.1281845353090803,0.00079329733340756,0.2479353168156664,-0.05199491946764853
mlp_mixed_seed29_fold0,mlp,mixed,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.37315516665679477,-0.10032586352446143,0.5508474576271186,0.828360072995553,0.4287220970727503,1.17165104714634,0.14821278321715925,0.0,0.27607036880805447,-0.0970847978487403
mlp_mixed_seed29_fold1,mlp,mixed,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.293875704013871,0.02621051222389531,0.5854213553388348,0.5281290775669949,0.1989532772740218,0.9114279866912239,0.12688158484739565,0.00079329733340756,0.2479353168156664,-0.04594038719820456
mlp_mixed_seed43_fold0,mlp,mixed,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.39501876630195587,-0.12218946316962254,0.5739599383667181,0.8163465478402031,0.43026349246271967,1.1902230614350864,0.1528071745124034,0.0,0.27607036880805447,-0.1189483974939014
mlp_mixed_seed43_fold1,mlp,mixed,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2942320005756819,0.0258542156620844,0.5828207051762941,0.5336587627656864,0.16904280077613576,0.9165285288503151,0.12701006214988986,0.00079329733340756,0.2479353168156664,-0.04629668376001547
