view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
damping097_fold0_seed17_easy_product_common,eu-locality-124,3651,1948,1915,0,0.1344865029170288,1.837934330570381
damping097_fold0_seed17_easy_hurdle_common,eu-locality-007,5664,1952,1905,0,0.0874100905885715,0.8774369780943234
damping097_fold0_seed17_easy_hurdle_common,eu-locality-008,161653,75807,74912,0,0.04685758804116685,0.5814986997943555
damping097_fold0_seed17_easy_hurdle_common,eu-locality-020,1282,241,215,0,0.04442960778180206,0.19459473493238413
damping097_fold0_seed17_easy_hurdle_common,eu-locality-048,8344,2911,2870,0,0.05108558219020274,0.6307008317772453
damping097_fold0_seed17_easy_hurdle_common,eu-locality-067,7105,2158,2124,0,0.07094985450165092,0.9665642056864262
damping097_fold0_seed17_easy_hurdle_common,eu-locality-110,8660,5067,5026,0,0.03328957390585341,0.8628411232056629
damping097_fold0_seed17_easy_hurdle_common,eu-locality-119,5787,2034,2019,0,0.06866644297459559,0.42969368135558605
damping097_fold0_seed17_easy_hurdle_common,eu-locality-124,3651,1527,1513,0,0.04589162489457875,1.206533814895618
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-007,5664,2315,2260,363,0.10750739194339522,1.0960522963263108
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-008,161653,85623,84499,9816,0.09707641005209286,0.7462887165367068
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-020,1282,324,294,83,0.388824361765981,0.22989229515918821
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-048,8344,3802,3732,891,0.17892985008889584,1.2626155103418888
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-067,7105,2563,2525,405,0.10837957655526657,1.1958498956578827
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-110,8660,6161,6109,1094,0.061482020241349876,1.2227757557625416
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-119,5787,2727,2695,693,0.18986912037614792,0.6927294807165063
damping097_fold0_seed17_easy_hurdle_at_product,eu-locality-124,3651,1948,1923,421,0.10201325112504235,1.732539298038441
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-007,5664,1952,1904,0,0.12392080110184972,0.6854768383333568
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-008,161653,75807,74815,0,0.09384705002802832,0.7081238878157987
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-020,1282,241,215,0,0.037780990138569955,0.2532248812307367
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-048,8344,2911,2859,0,0.1841516192096341,0.9473237114418126
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-067,7105,2158,2115,0,0.19571153608025443,0.839977262747216
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-110,8660,5067,5027,0,0.02835951878376146,1.0940972059066894
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-119,5787,2034,2015,0,0.3639850891662681,0.17709550881497796
damping097_fold0_seed17_easy_product_at_hurdle,eu-locality-124,3651,1527,1509,0,0.06005507046230834,1.4823700364319077
neural_fold0_seed29_all_product_original,eu-locality-007,5664,956,936,0,0.052517008041409206,0.3076665150315125
neural_fold0_seed29_all_product_original,eu-locality-008,161653,30844,30501,0,0.03165885280652245,0.4662991149041502
neural_fold0_seed29_all_product_original,eu-locality-020,1282,79,79,0,0.0036115664408414385,0.6971796167008972
neural_fold0_seed29_all_product_original,eu-locality-048,8344,1441,1419,0,0.03168902432398348,0.4371946873671245
neural_fold0_seed29_all_product_original,eu-locality-067,7105,1001,983,0,0.0562533393489327,0.4366290213180716
neural_fold0_seed29_all_product_original,eu-locality-110,8660,2057,2043,0,0.02451961634327125,0.5187610263654144
neural_fold0_seed29_all_product_original,eu-locality-119,5787,1102,1098,0,0.03345389329807735,0.45676244917908176
neural_fold0_seed29_all_product_original,eu-locality-124,3651,567,564,0,0.06226618366821221,0.6492429979514075
neural_fold0_seed29_all_hurdle_original,eu-locality-007,5664,1769,1737,0,0.25128072465037604,0.9251778789151202
neural_fold0_seed29_all_hurdle_original,eu-locality-008,161653,53474,52879,0,0.13432109933284556,1.1463483772524625
neural_fold0_seed29_all_hurdle_original,eu-locality-020,1282,156,145,0,0.13662588606478063,0.5991105678948363
neural_fold0_seed29_all_hurdle_original,eu-locality-048,8344,2281,2255,0,0.27111182726210986,1.616253191970845
neural_fold0_seed29_all_hurdle_original,eu-locality-067,7105,1740,1714,0,0.31190769704274074,2.7654466144123058
neural_fold0_seed29_all_hurdle_original,eu-locality-110,8660,3728,3694,0,0.07813763564461704,1.536767833165581
neural_fold0_seed29_all_hurdle_original,eu-locality-119,5787,1809,1796,0,0.11324884609941945,1.2271895342051382
neural_fold0_seed29_all_hurdle_original,eu-locality-124,3651,1091,1082,0,0.11348236977021225,1.6816858590485444
neural_fold0_seed29_all_product_common,eu-locality-007,5664,956,936,0,0.052517008041409206,0.3076665150315125
neural_fold0_seed29_all_product_common,eu-locality-008,161653,30844,30501,0,0.03165885280652245,0.4662991149041502
neural_fold0_seed29_all_product_common,eu-locality-020,1282,79,79,0,0.0036115664408414385,0.6971796167008972
neural_fold0_seed29_all_product_common,eu-locality-048,8344,1441,1419,0,0.03168902432398348,0.4371946873671245
neural_fold0_seed29_all_product_common,eu-locality-067,7105,1001,983,0,0.0562533393489327,0.4366290213180716
neural_fold0_seed29_all_product_common,eu-locality-110,8660,2057,2043,0,0.02451961634327125,0.5187610263654144
neural_fold0_seed29_all_product_common,eu-locality-119,5787,1102,1098,0,0.03345389329807735,0.45676244917908176
neural_fold0_seed29_all_product_common,eu-locality-124,3651,567,564,0,0.06226618366821221,0.6492429979514075
neural_fold0_seed29_all_hurdle_common,eu-locality-007,5664,1769,1737,0,0.25128072465037604,0.9251778789151202
neural_fold0_seed29_all_hurdle_common,eu-locality-008,161653,53474,52879,0,0.13432109933284556,1.1463483772524625
neural_fold0_seed29_all_hurdle_common,eu-locality-020,1282,156,145,0,0.13662588606478063,0.5991105678948363
neural_fold0_seed29_all_hurdle_common,eu-locality-048,8344,2281,2255,0,0.27111182726210986,1.616253191970845
neural_fold0_seed29_all_hurdle_common,eu-locality-067,7105,1740,1714,0,0.31190769704274074,2.7654466144123058
neural_fold0_seed29_all_hurdle_common,eu-locality-110,8660,3728,3694,0,0.07813763564461704,1.536767833165581
neural_fold0_seed29_all_hurdle_common,eu-locality-119,5787,1809,1796,0,0.11324884609941945,1.2271895342051382
neural_fold0_seed29_all_hurdle_common,eu-locality-124,3651,1091,1082,0,0.11348236977021225,1.6816858590485444
neural_fold0_seed29_all_hurdle_at_product,eu-locality-007,5664,956,937,0,0.0880331806695963,0.39925604204387144
neural_fold0_seed29_all_hurdle_at_product,eu-locality-008,161653,30844,30512,0,0.036087752341405765,0.5724277909590354
